GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C8H001,C8H002,C8H003,C8H004,C8H005,C8H006
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,,"AUTAUGA COUNTY",7727,294,115,1822,160,79
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,,"BALDWIN COUNTY",20336,719,230,4993,362,135
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,,"BARBOUR COUNTY",5627,275,147,1969,214,143
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,,"BIBB COUNTY",3678,201,55,1037,126,70
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,,"BLOUNT COUNTY",9951,311,46,2207,135,32
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,,"BULLOCK COUNTY",2252,170,85,784,83,81
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,,"BUTLER COUNTY",5032,194,89,1838,199,119
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,,"CALHOUN COUNTY",26662,727,133,11253,661,215
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,,"CHAMBERS COUNTY",9552,426,124,2923,323,172
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,,"CHEROKEE COUNTY",4891,142,32,1297,108,35
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,,"CHILTON COUNTY",8257,273,58,1988,125,41
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,,"CHOCTAW COUNTY",4111,269,94,778,94,59
