GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G0100010","1990",,,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,"Autauga County",7313,4046,343,89,35
"G0100030","1990",,,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,"Baldwin County",24510,11133,960,355,86
"G0100050","1990",,,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,"Barbour County",5812,2821,391,141,53
"G0100070","1990",,,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,"Bibb County",3360,2088,238,38,21
"G0100090","1990",,,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,"Blount County",9314,4943,319,56,12
"G0100110","1990",,,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,"Bullock County",2294,1203,193,63,34
"G0100130","1990",,,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,"Butler County",5036,2365,381,117,36
"G0100150","1990",,,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,"Calhoun County",28601,13385,760,200,37
"G0100170","1990",,,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,"Chambers County",8992,4158,485,119,32
"G0100190","1990",,,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,"Cherokee County",4871,2380,167,42,6
"G0100210","1990",,,,,,,,,,,"Chilton","021",,"6","9999",,"9999","3","Alabama","01",,,,"Chilton County",7662,4061,308,69,14
"G0100230","1990",,,,,,,,,,,"Choctaw","023",,"6","9999",,"9999","3","Alabama","01",,,,"Choctaw County",3552,1846,246,76,27
"G0100250","1990",,,,,,,,,,,"Clarke","025",,"6","9999",,"9999","3","Alabama","01",,,,"Clarke County",5899,2999,439,115,54
"G0100270","1990",,,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Alabama","01",,,,"Clay County",3286,1535,141,31,10
"G0100290","1990",,,,,,,,,,,"Cleburne","029",,"6","9999",,"9999","3","Alabama","01",,,,"Cleburne County",3025,1622,105,18,6
"G0100310","1990",,,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Alabama","01",,,,"Coffee County",10301,4526,331,77,25
"G0100330","1990",,,,,,,,,,,"Colbert","033",,"6","2650",,"9999","3","Alabama","01",,,,"Colbert County",13839,5848,324,71,14
"G0100350","1990",,,,,,,,,,,"Conecuh","035",,"6","9999",,"9999","3","Alabama","01",,,,"Conecuh County",3385,1608,188,61,17
"G0100370","1990",,,,,,,,,,,"Coosa","037",,"6","9999",,"9999","3","Alabama","01",,,,"Coosa County",2523,1318,137,32,7
"G0100390","1990",,,,,,,,,,,"Covington","039",,"6","9999",,"9999","3","Alabama","01",,,,"Covington County",9707,4298,325,90,24
"G0100410","1990",,,,,,,,,,,"Crenshaw","041",,"6","9999",,"9999","3","Alabama","01",,,,"Crenshaw County",3320,1668,207,48,19
"G0100430","1990",,,,,,,,,,,"Cullman","043",,"6","9999",,"9999","3","Alabama","01",,,,"Cullman County",16819,8172,511,87,16
"G0100450","1990",,,,,,,,,,,"Dale","045",,"6","2180",,"9999","3","Alabama","01",,,,"Dale County",10679,6270,462,145,18
"G0100470","1990",,,,,,,,,,,"Dallas","047",,"6","9999",,"9999","3","Alabama","01",,,,"Dallas County",10505,5323,822,274,109
"G0100490","1990",,,,,,,,,,,"DeKalb","049",,"6","9999",,"9999","3","Alabama","01",,,,"DeKalb County",13791,6711,383,69,14
"G0100510","1990",,,,,,,,,,,"Elmore","051",,"6","5240",,"9999","3","Alabama","01",,,,"Elmore County",10610,5201,520,154,47
"G0100530","1990",,,,,,,,,,,"Escambia","053",,"6","9999",,"9999","3","Alabama","01",,,,"Escambia County",8407,3997,379,90,26
"G0100550","1990",,,,,,,,,,,"Etowah","055",,"6","2880",,"9999","3","Alabama","01",,,,"Etowah County",26691,11247,600,113,24
"G0100570","1990",,,,,,,,,,,"Fayette","057",,"6","9999",,"9999","3","Alabama","01",,,,"Fayette County",4493,2172,160,30,4
"G0100590","1990",,,,,,,,,,,"Franklin","059",,"6","9999",,"9999","3","Alabama","01",,,,"Franklin County",7280,3326,212,24,8
"G0100610","1990",,,,,,,,,,,"Geneva","061",,"6","9999",,"9999","3","Alabama","01",,,,"Geneva County",6150,2786,227,52,16
"G0100630","1990",,,,,,,,,,,"Greene","063",,"6","9999",,"9999","3","Alabama","01",,,,"Greene County",2098,1068,235,81,30
"G0100650","1990",,,,,,,,,,,"Hale","065",,"6","9999",,"9999","3","Alabama","01",,,,"Hale County",3217,1741,307,99,33
"G0100670","1990",,,,,,,,,,,"Henry","067",,"6","9999",,"9999","3","Alabama","01",,,,"Henry County",3705,1765,201,79,19
"G0100690","1990",,,,,,,,,,,"Houston","069",,"6","2180",,"9999","3","Alabama","01",,,,"Houston County",20420,9303,804,232,85
"G0100710","1990",,,,,,,,,,,"Jackson","071",,"6","9999",,"9999","3","Alabama","01",,,,"Jackson County",11387,6142,402,68,21
"G0100730","1990",,,,,,,,,,,"Jefferson","073",,"6","1000",,"9999","3","Alabama","01",,,,"Jefferson County",175885,68824,5178,1271,321
"G0100750","1990",,,,,,,,,,,"Lamar","075",,"6","9999",,"9999","3","Alabama","01",,,,"Lamar County",3896,1910,161,33,5
"G0100770","1990",,,,,,,,,,,"Lauderdale","077",,"6","2650",,"9999","3","Alabama","01",,,,"Lauderdale County",21654,8734,431,75,11
"G0100790","1990",,,,,,,,,,,"Lawrence","079",,"6","2030",,"9999","3","Alabama","01",,,,"Lawrence County",7094,3881,339,72,24
"G0100810","1990",,,,,,,,,,,"Lee","081",,"6","9999",,"9999","3","Alabama","01",,,,"Lee County",20599,11230,905,295,68
"G0100830","1990",,,,,,,,,,,"Limestone","083",,"6","9999",,"9999","3","Alabama","01",,,,"Limestone County",12594,6560,403,106,22
"G0100850","1990",,,,,,,,,,,"Lowndes","085",,"6","9999",,"9999","3","Alabama","01",,,,"Lowndes County",2231,1352,311,126,36
