GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,F90001,F90002,F90003,F90004,F90005,F90006,F90007,F90008,F90009,F90010
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Autauga County",8901,3788,208,26,12,1720,1168,143,37,0
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Baldwin County",32403,10798,597,188,50,6935,3867,314,134,50
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Barbour County",5425,1900,186,84,20,1673,888,117,94,22
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bibb County",3995,1815,120,21,0,915,461,76,4,14
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blount County",11123,4560,243,106,52,2053,879,143,66,40
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bullock County",2126,687,82,72,0,517,340,79,63,20
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler County",4643,1553,148,54,0,1264,621,84,12,19
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,,"Calhoun County",25132,7324,294,82,13,8092,3909,302,125,34
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chambers County",7894,2918,139,41,0,2206,1130,164,16,14
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cherokee County",5879,1933,110,12,8,1126,579,24,33,15
"G0100210","2000","3","6","Alabama","01","Chilton","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chilton County",8756,3624,171,17,3,1663,919,108,15,11
"G0100230","2000","3","6","Alabama","01","Choctaw","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Choctaw County",3841,1487,103,51,12,624,196,38,9,2
"G0100250","2000","3","6","Alabama","01","Clarke","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clarke County",5872,2505,141,62,4,1211,668,77,33,5
"G0100270","2000","3","6","Alabama","01","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",3278,1107,51,6,9,959,308,36,11,0
"G0100290","2000","3","6","Alabama","01","Cleburne","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleburne County",3145,1305,30,16,0,719,337,24,7,7
"G0100310","2000","3","6","Alabama","01","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee County",9413,2857,111,41,14,3187,1493,215,77,13
"G0100330","2000","3","6","Alabama","01","Colbert","033",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Colbert County",13161,3620,195,23,7,3789,1514,114,30,8
"G0100350","2000","3","6","Alabama","01","Conecuh","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Conecuh County",3424,1223,33,15,0,720,316,42,19,0
"G0100370","2000","3","6","Alabama","01","Coosa","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coosa County",2841,991,105,24,10,513,178,7,7,6
"G0100390","2000","3","6","Alabama","01","Covington","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Covington County",9006,2977,146,24,2,2245,1060,121,36,23
"G0100410","2000","3","6","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crenshaw County",3033,1084,139,14,4,832,383,45,28,15
"G0100430","2000","3","6","Alabama","01","Cullman","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cullman County",17394,6168,345,43,21,4457,1978,185,69,46
