GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,F90001,F90002,F90003,F90004,F90005,F90006,F90007,F90008,F90009,F90010
"G01000124","2000","3","6","Alabama","01",,,"Abbeville city","00124",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Abbeville city",669,176,16,18,0,207,86,8,0,0
"G01000460","2000","3","6","Alabama","01",,,"Adamsville city","00460",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Adamsville city",1250,410,11,0,0,190,55,0,0,0
"G01000484","2000","3","6","Alabama","01",,,"Addison town","00484",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Addison town",185,45,9,0,0,39,26,2,0,0
"G01000676","2000","3","6","Alabama","01",,,"Akron town","00676",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Akron town",92,51,0,2,0,46,21,0,0,0
"G01000820","2000","3","6","Alabama","01",,,"Alabaster city","00820",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Alabaster city",5204,1899,44,15,0,721,425,14,22,0
"G01000988","2000","3","6","Alabama","01",,,"Albertville city","00988",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Albertville city",3302,945,82,18,43,1191,770,153,61,12
"G01001132","2000","3","6","Alabama","01",,,"Alexander City city","01132",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Alexander City city",3134,861,17,12,0,1569,546,61,5,10
"G01001180","2000","3","6","Alabama","01",,,"Alexandria CDP","01180",,,,,,,,,,,"0450","9999","9999",,,,,,,,"Alexandria CDP",870,339,6,0,0,118,71,0,0,0
"G01001228","2000","3","6","Alabama","01",,,"Aliceville city","01228",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Aliceville city",379,157,4,19,0,242,105,42,6,4
"G01001396","2000","3","6","Alabama","01",,,"Allgood town","01396",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Allgood town",77,37,7,7,5,15,9,0,5,11
"G01001660","2000","3","6","Alabama","01",,,"Altoona town","01660",,,,,,,,,,,"####","9999","9999",,,,,,,,"Altoona town",177,55,2,0,3,104,58,7,0,0
"G01001708","2000","3","6","Alabama","01",,,"Andalusia city","01708",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Andalusia city",1941,502,15,0,0,831,352,35,6,6
"G01001756","2000","3","6","Alabama","01",,,"Anderson town","01756",,,,,,,,,,,"2650","9999","9999",,,,,,,,"Anderson town",90,26,1,0,0,22,8,0,0,0
"G01001852","2000","3","6","Alabama","01",,,"Anniston city","01852",,,,,,,,,,,"0450","9999","9999",,,,,,,,"Anniston city",5292,886,61,15,0,2817,1227,92,68,6
"G01002116","2000","3","6","Alabama","01",,,"Arab city","02116",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Arab city",1743,312,0,4,0,682,278,4,8,0
"G01002260","2000","3","6","Alabama","01",,,"Ardmore town","02260",,,,,,,,,,,"3440","9999","9999",,,,,,,,"Ardmore town",224,52,4,0,0,130,52,0,2,0
"G01002320","2000","3","6","Alabama","01",,,"Argo town","02320",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Argo town",355,175,20,2,0,78,22,5,2,0
"G01002428","2000","3","6","Alabama","01",,,"Ariton town","02428",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Ariton town",165,56,3,0,0,56,33,0,0,0
"G01002500","2000","3","6","Alabama","01",,,"Arley town","02500",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Arley town",73,26,0,0,0,17,11,0,0,0
"G01002836","2000","3","6","Alabama","01",,,"Ashford city","02836",,,,,,,,,,,"2180","9999","9999",,,,,,,,"Ashford city",397,138,7,4,3,132,64,10,4,3
"G01002860","2000","3","6","Alabama","01",,,"Ashland city","02860",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ashland city",362,88,0,0,0,285,100,0,7,0
"G01002908","2000","3","6","Alabama","01",,,"Ashville town","02908",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Ashville town",499,170,24,3,1,65,64,6,0,0
"G01002956","2000","3","6","Alabama","01",,,"Athens city","02956",,,,,,,,,,,"3440","9999","9999",,,,,,,,"Athens city",3909,955,24,3,0,1881,856,94,46,25
"G01003004","2000","3","6","Alabama","01",,,"Atmore city","03004",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Atmore city",1620,469,40,7,0,675,278,37,31,6
"G01003028","2000","3","6","Alabama","01",,,"Attalla city","03028",,,,,,,,,,,"2880","9999","9999",,,,,,,,"Attalla city",1310,390,18,8,7,609,288,42,15,0
