GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JR0E001,JR0E002,JR0E003,JR0E004,JR0E005,JR0E006,JR0E007,JR0E008,JR0E009,JR0E010,JR0E011,JR0E012,JR0E013,NAME_M,JR0M001,JR0M002,JR0M003,JR0M004,JR0M005,JR0M006,JR0M007,JR0M008,JR0M009,JR0M010,JR0M011,JR0M012,JR0M013
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",19718,15285,11413,3717,151,4,0,4433,2729,1599,69,36,0,"Autauga County, Alabama",348,415,404,310,73,7,119,382,322,263,38,37,119
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",69476,53309,41445,11253,496,97,18,16167,9696,5695,563,153,60,"Baldwin County, Alabama",1105,908,955,708,181,67,27,899,802,560,211,78,54
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",9795,6665,5212,1386,56,11,0,3130,2068,941,96,25,0,"Barbour County, Alabama",337,296,289,206,50,14,119,308,262,206,61,23,119
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",7441,6170,4515,1586,69,0,0,1271,807,443,21,0,0,"Bibb County, Alabama",288,345,364,263,55,119,119,249,216,169,34,119,119
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",20605,16897,12411,4090,337,59,0,3708,2264,1273,126,41,4,"Blount County, Alabama",431,433,434,374,130,56,119,360,315,233,92,30,7
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",3732,2871,2164,648,59,0,0,861,531,317,13,0,0,"Bullock County, Alabama",216,198,241,152,51,119,119,174,162,108,21,119,119
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",8019,5530,4207,1235,74,14,0,2489,1517,836,129,7,0,"Butler County, Alabama",336,286,284,182,53,16,119,263,240,196,83,12,119
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",46421,32818,25354,7133,296,27,8,13603,9145,4100,281,77,0,"Calhoun County, Alabama",704,671,661,428,118,32,13,729,601,461,128,63,119
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",13681,9764,7831,1858,42,33,0,3917,2310,1474,92,41,0,"Chambers County, Alabama",350,367,394,254,40,49,119,374,286,264,53,40,119
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",11352,8802,6414,2247,103,38,0,2550,1641,830,38,14,27,"Cherokee County, Alabama",360,421,369,368,130,37,119,377,306,220,42,23,45
"G0100210","2006-2010",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",16563,12435,8857,3335,195,2,46,4128,2438,1557,112,21,0,"Chilton County, Alabama",338,439,364,330,97,6,41,441,339,276,75,25,119
"G0100230","2006-2010",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",5296,4534,3549,918,67,0,0,762,580,131,51,0,0,"Choctaw County, Alabama",254,227,229,156,50,119,119,139,113,77,61,119,119
"G0100250","2006-2010",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",9144,7316,5570,1595,46,102,3,1828,1218,480,99,0,31,"Clarke County, Alabama",407,462,385,205,46,78,8,281,251,141,84,119,45
"G0100270","2006-2010",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",5851,4260,3219,983,32,26,0,1591,938,505,34,15,99,"Clay County, Alabama",504,486,439,198,34,31,119,207,203,148,30,18,91
"G0100290","2006-2010",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",5397,4041,3049,900,92,0,0,1356,771,501,28,0,56,"Cleburne County, Alabama",244,244,258,173,53,119,119,219,158,150,36,119,58
