GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,,,,,"Autauga",5847,584,362
"G0100030","1970","Alabama","01","Baldwin","003",,,,,,"5160",,,,,,,"Baldwin",15543,1424,753
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,,,,,"Barbour",5802,538,471
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,,,,,"Bibb",3428,329,258
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,,,,,"Blount",7629,592,210
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,,,,,"Bullock",2640,318,394
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,,,,,"Butler",5719,547,390
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,,,,,"Calhoun",27519,2228,828
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,,,,,"Chambers",9714,840,674
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,,,,,"Cherokee",4372,369,136
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,,,,,"Chilton",7173,582,248
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,,,,,"Choctaw",3859,493,325
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,,,,,"Clarke",6451,689,462
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,,,,,"Clay",3446,334,159
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,,,,,"Cleburne",2961,271,127
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,,,,,"Coffee",9650,705,334
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,,,,,"Colbert",13635,990,425
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,,,,,"Conecuh",3978,407,268
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,,,,,"Coosa",2683,295,174
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,,,,,"Covington",10176,679,342
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"Crenshaw",3704,310,204
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,,,,,"Cullman",14751,1117,300
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,,,,,"Dale",12601,916,364
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,,,,,"Dallas",12759,1341,1511
"G0100490","1970","Alabama","01","DeKalb","049",,,,,,,,,,,,,"De Kalb",12351,895,259
"G0100510","1970","Alabama","01","Elmore","051",,,,,,"5240",,,,,,,"Elmore",8424,751,505
"G0100530","1970","Alabama","01","Escambia","053",,,,,,,,,,,,,"Escambia",8821,717,427
"G0100550","1970","Alabama","01","Etowah","055",,,,,,"2880",,,,,,,"Etowah",27794,1800,595
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,,,,,"Fayette",4642,395,148
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,,,,,"Franklin",7064,478,152
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,,,,,"Geneva",6434,443,182
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,,,,,"Greene",2299,291,361
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,,,,,"Hale",3312,419,554
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,,,,,"Henry",3561,306,229
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,,,,,"Houston",15948,1114,528
"G0100710","1970","Alabama","01","Jackson","071",,,,,,,,,,,,,"Jackson",10562,1056,373
"G0100730","1970","Alabama","01","Jefferson","073",,,,,,"1000",,,,,,,"Jefferson",184738,12314,6557
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,,,,,"Lamar",4223,320,125
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,,,,,"Lauderdale",19031,1339,439
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,,,,,,,"Lawrence",6677,754,394
"G0100810","1970","Alabama","01","Lee","081",,,,,,,,,,,,,"Lee",15178,1281,938
"G0100830","1970","Alabama","01","Limestone","083",,,,,,"3440",,,,,,,"Limestone",10523,993,534
"G0100850","1970","Alabama","01","Lowndes","085",,,,,,,,,,,,,"Lowndes",2197,371,537
"G0100870","1970","Alabama","01","Macon","087",,,,,,,,,,,,,"Macon",5408,585,495
"G0100890","1970","Alabama","01","Madison","089",,,,,,"3440",,,,,,,"Madison",49299,2775,1060
"G0100910","1970","Alabama","01","Marengo","091",,,,,,,,,,,,,"Marengo",5552,580,609
"G0100930","1970","Alabama","01","Marion","093",,,,,,,,,,,,,"Marion",7072,457,166
"G0100950","1970","Alabama","01","Marshall","095",,,,,,,,,,,,,"Marshall",15675,1089,337
"G0100970","1970","Alabama","01","Mobile","097",,,,,,"5160",,,,,,,"Mobile",80309,7599,3861
"G0100990","1970","Alabama","01","Monroe","099",,,,,,,,,,,,,"Monroe",4981,540,421
"G0101010","1970","Alabama","01","Montgomery","101",,,,,,"5240",,,,,,,"Montgomery",45204,3334,2235
"G0101030","1970","Alabama","01","Morgan","103",,,,,,,,,,,,,"Morgan",21488,1479,560
"G0101050","1970","Alabama","01","Perry","105",,,,,,,,,,,,,"Perry",3330,431,421
"G0101070","1970","Alabama","01","Pickens","107",,,,,,,,,,,,,"Pickens",4994,546,396
"G0101090","1970","Alabama","01","Pike","109",,,,,,,,,,,,,"Pike",6480,495,456
"G0101110","1970","Alabama","01","Randolph","111",,,,,,,,,,,,,"Randolph",5186,445,227
"G0101130","1970","Alabama","01","Russell","113",,,,,,"1800",,,,,,,"Russell",10727,1336,1016
"G0101150","1970","Alabama","01","St Clair","115",,,,,,,,,,,,,"St Clair",7278,716,310
"G0101170","1970","Alabama","01","Shelby","117",,,,,,"1000",,,,,,,"Shelby",9789,907,432
"G0101190","1970","Alabama","01","Sumter","119",,,,,,,,,,,,,"Sumter",3692,463,489
"G0101210","1970","Alabama","01","Talladega","121",,,,,,,,,,,,,"Talladega",16314,1633,946
"G0101230","1970","Alabama","01","Tallapoosa","123",,,,,,,,,,,,,"Tallapoosa",9108,851,486
"G0101250","1970","Alabama","01","Tuscaloosa","125",,,,,,"8600",,,,,,,"Tuscaloosa",29508,2106,1051
"G0101270","1970","Alabama","01","Walker","127",,,,,,"1000",,,,,,,"Walker",15819,1362,510
"G0101290","1970","Alabama","01","Washington","129",,,,,,,,,,,,,"Washington",3550,477,313
