GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G0100005","1970","Alabama","01",,,"Abbeville","0005",,,,,,,,,,,"Abbeville",912,43,38
"G0100010","1970","Alabama","01",,,"Adamsville","0010",,,,,,,,,,,"Adamsville",655,55,27
"G0100015","1970","Alabama","01",,,"Addison","0015",,,,,,,,,,,"Addison",195,14,7
"G0100020","1970","Alabama","01",,,"Akron","0020",,,,,,,,,,,"Akron",143,14,14
"G0100025","1970","Alabama","01",,,"Alabaster","0025",,,,,,,,,,,"Alabaster",656,66,52
"G0100030","1970","Alabama","01",,,"Albertville","0030",,,,,,,,,,,"Albertville",3095,172,31
"G0100035","1970","Alabama","01",,,"Alexander City","0035",,,,,,,,,,,"Alexander City",3375,279,140
"G0100040","1970","Alabama","01",,,"Aliceville","0040",,,,,,,,,,,"Aliceville",862,59,41
"G0100045","1970","Alabama","01",,,"Allgood","0045",,,,,,,,,,,"Allgood",72,8,2
"G0100050","1970","Alabama","01",,,"Altoona","0050",,,,,,,,,,,"Altoona",255,10,1
"G0100055","1970","Alabama","01",,,"Andalusia","0055",,,,,,,,,,,"Andalusia",3077,166,112
"G0100060","1970","Alabama","01",,,"Anniston","0060",,,,,,,,,,,"Anniston",9100,753,370
"G0100062","1970","Alabama","01",,,"Anniston Northwest (U)","0062",,,,,,,,,,,"Anniston Northwest (U)",1951,115,23
"G0100065","1970","Alabama","01",,,"Arab","0065",,,,,,,,,,,"Arab",1274,62,17
"G0100070","1970","Alabama","01",,,"Ardmore","0070",,,,,,,,,,,"Ardmore",262,9,3
"G0100075","1970","Alabama","01",,,"Ariton","0075",,,,,,,,,,,"Ariton",207,11,4
"G0100077","1970","Alabama","01",,,"Arley","0077",,,,,,,,,,,"Arley",48,3,1
"G0100080","1970","Alabama","01",,,"Ashford","0080",,,,,,,,,,,"Ashford",569,48,21
"G0100085","1970","Alabama","01",,,"Ashland","0085",,,,,,,,,,,"Ashland",591,41,25
"G0100090","1970","Alabama","01",,,"Ashville","0090",,,,,,,,,,,"Ashville",253,23,15
"G0100095","1970","Alabama","01",,,"Athens","0095",,,,,,,,,,,"Athens",4037,243,114
"G0100100","1970","Alabama","01",,,"Atmore","0100",,,,,,,,,,,"Atmore",2198,176,136
"G0100105","1970","Alabama","01",,,"Attalla","0105",,,,,,,,,,,"Attalla",2122,171,60
"G0100110","1970","Alabama","01",,,"Auburn","0110",,,,,,,,,,,"Auburn",5683,220,240
"G0100115","1970","Alabama","01",,,"Autaugaville","0115",,,,,,,,,,,"Autaugaville",205,27,17
"G0100120","1970","Alabama","01",,,"Avon","0120",,,,,,,,,,,"Avon",110,9,1
"G0100125","1970","Alabama","01",,,"Babbie","0125",,,,,,,,,,,"Babbie",22,2,0
"G0100130","1970","Alabama","01",,,"Banks","0130",,,,,,,,,,,"Banks",62,3,1
"G0100135","1970","Alabama","01",,,"Bay Minette","0135",,,,,,,,,,,"Bay Minette",1690,160,80
"G0100140","1970","Alabama","01",,,"Bayou La Batre","0140",,,,,,,,,,,"Bayou La Batre",669,81,38
"G0100150","1970","Alabama","01",,,"Bear Creek","0150",,,,,,,,,,,"Bear Creek",106,6,2
"G0100155","1970","Alabama","01",,,"Beatrice","0155",,,,,,,,,,,"Beatrice",134,16,5
"G0100160","1970","Alabama","01",,,"Beaverton","0160",,,,,,,,,,,"Beaverton",89,4,1
"G0100167","1970","Alabama","01",,,"Benton","0167",,,,,,,,,,,"Benton",29,1,5
