year,GISJOIN,state,county,total,occupied,vacant,pct.vacant,crowded,pct.crowded,usa.crowded,z.crowded
2019,G0100010,AL,Autauga County,23493,21397,2096,0.08921806495551866,243,0.011356732252184885,0.029342954335174268,-16.33519662275685
2019,G0100030,AL,Baldwin County,114164,80930,33234,0.29110752951893765,1042,0.01287532435438033,0.029342954335174268,-32.96938636265612
2019,G0100050,AL,Barbour County,12013,9345,2668,0.22209273287272122,360,0.038523274478330656,0.029342954335174268,5.962092923373963
2019,G0100070,AL,Bibb County,9185,6891,2294,0.2497550353837779,77,0.011173995066028152,0.029342954335174268,-10.317745401845134
2019,G0100090,AL,Blount County,24323,20847,3476,0.14291000287793446,374,0.01794023120832734,0.029342954335174268,-10.537372301009833
2019,G0100110,AL,Bullock County,4557,3521,1036,0.22734254992319508,0,0,0.029342954335174268,-11.737038455801544
2019,G0100130,AL,Butler County,10089,6506,3583,0.3551392605808306,100,0.01537042729787888,0.029342954335174268,-8.315994533161547
2019,G0100150,AL,Calhoun County,53631,44605,9026,0.16829818575077846,749,0.016791839479878938,0.029342954335174268,-17.222866162633192
2019,G0100170,AL,Chambers County,16988,13448,3540,0.20838238756769484,709,0.052721594289113625,0.029342954335174268,18.055334728370127
2019,G0100190,AL,Cherokee County,16579,10737,5842,0.35237348452862055,142,0.01322529570643569,0.029342954335174268,-12.296918493413385
2019,G0100210,AL,Chilton County,19781,16927,2854,0.1442798645164552,503,0.029715838601051574,0.029342954335174268,0.3107515870578675
2019,G0100230,AL,Choctaw County,7359,5300,2059,0.27979345019703766,45,0.008490566037735849,0.029342954335174268,-10.599377998346698
2019,G0100250,AL,Clarke County,12784,9090,3694,0.2889549436795995,148,0.01628162816281628,0.029342954335174268,-8.75055968648975
2019,G0100270,AL,Clay County,6799,5198,1601,0.23547580526548023,48,0.00923432089265102,0.029342954335174268,-9.82472161811534
2019,G0100290,AL,Cleburne County,6844,5680,1164,0.17007597895967272,48,0.008450704225352112,0.029342954335174268,-10.241307169902619
2019,G0100310,AL,Coffee County,23188,19924,3264,0.14076246334310852,350,0.017566753663922907,0.029342954335174268,-10.625564671759015
2019,G0100330,AL,Colbert County,26588,21880,4708,0.17707236347224312,131,0.005987202925045704,0.029342954335174268,-22.5658581939887
2019,G0100350,AL,Conecuh County,7182,4553,2629,0.3660540239487608,20,0.004392708104546453,0.029342954335174268,-12.528893334169227
2019,G0100370,AL,Coosa County,6585,4032,2553,0.3876993166287016,113,0.028025793650793652,0.029342954335174268,-0.6333325720623084
2019,G0100390,AL,Covington County,18976,14852,4124,0.21732715008431702,314,0.021141933746296793,0.029342954335174268,-6.693995460803178
2019,G0100410,AL,Crenshaw County,6815,4943,1872,0.27468818782098314,43,0.008699170544203924,0.029342954335174268,-10.098047459231386
2019,G0100430,AL,Cullman County,37842,31034,6808,0.17990592463400454,601,0.019365856802216922,0.029342954335174268,-11.500227557897073
2019,G0100450,AL,Dale County,23103,18806,4297,0.18599316106133404,287,0.01526108688716367,0.029342954335174268,-12.682638582917349
2019,G0100470,AL,Dallas County,20419,15910,4509,0.22082374259268328,306,0.01923318667504714,0.029342954335174268,-8.559996456924369
2019,G0100490,AL,DeKalb County,31309,26040,5269,0.16829026797406496,764,0.0293394777265745,0.029342954335174268,-0.0036450674900931866
2019,G0100510,AL,Elmore County,34165,29708,4457,0.13045514415337334,481,0.016190925003366097,0.029342954335174268,-14.404515550797193
2019,G0100530,AL,Escambia County,16586,13089,3497,0.210840467864464,230,0.01757200702880281,0.029342954335174268,-8.982504047192787
2019,G0100550,AL,Etowah County,47704,38942,8762,0.1836743250041925,499,0.012813928406347902,0.029342954335174268,-21.391430827846914
2019,G0100570,AL,Fayette County,8505,6802,1703,0.20023515579071136,82,0.012055277859453102,0.029342954335174268,-9.446892229792393
2019,G0100590,AL,Franklin County,14052,11048,3004,0.21377739823512668,383,0.034666908037653876,0.029342954335174268,3.739542868910557
2019,G0100610,AL,Geneva County,12869,10383,2486,0.19317740306162096,172,0.016565539824713475,0.029342954335174268,-8.588761831850046
2019,G0100630,AL,Greene County,5112,2951,2161,0.4227308294209703,64,0.021687563537783804,0.029342954335174268,-3.2432316070392337
