year,STATEA,COUNTYA,STATE,COUNTY,total,crowded,pct.crowded,z
1970,48,215,Texas,Hidalgo,43724,14567,0.33315799103467203,190.96915562466538
1970,15,003,Hawaii,Honolulu,164763,32834,0.19928017819534727,172.91217556230154
1970,48,061,Texas,Cameron,35508,10229,0.288075926551763,141.17367278515908
1970,04,001,Arizona,Apache,6832,3714,0.5436182669789227,138.8055475755716
1970,36,005,New York,Bronx,497222,67168,0.13508654082080038,135.62134997978131
1970,12,025,Florida,Dade,428035,58472,0.13660565140701111,129.449927545885
1970,48,029,Texas,Bexar,233567,35256,0.15094598123878802,120.85006755840205
1970,35,031,New Mexico,McKinley,9675,4023,0.4158139534883721,119.42394855294017
1970,36,047,New York,Kings,876119,102515,0.11701036046473139,118.44150569728758
1970,48,141,Texas,El Paso,95841,17864,0.1863920451581265,117.35503779440388
1980,06,037,California,Los Angeles,2730469,305234,0.11178812138134511,527.1599244689015
1980,12,025,Florida,Dade,609830,73848,0.12109604315956907,284.0524156163123
1980,48,215,Texas,Hidalgo,75816,19663,0.25935158805529174,283.0475506024344
1980,15,003,Hawaii,Honolulu,230214,35598,0.1546300398759415,251.82658398985234
1980,48,061,Texas,Cameron,58418,13696,0.23444828648704166,219.54001270118462
1980,04,001,Arizona,Apache,12638,5689,0.4501503402437094,218.61251404509616
1980,36,005,New York,Bronx,429257,47026,0.10955208651227587,201.97908269320226
1980,36,047,New York,Kings,828257,73699,0.0889808356584973,190.61828038836444
1980,48,479,Texas,Webb,25896,6870,0.265291936978684,170.01539583034096
1980,35,031,New Mexico,McKinley,15078,5006,0.33200689746650747,169.0884659526886
1990,06,037,California,Los Angeles,2989552,575286,0.19243217712888086,1139.8764048806722
1990,12,025,Florida,Dade,692355,125870,0.1817997992359411,507.7561570891449
1990,36,047,New York,Kings,828199,114169,0.13785213457152207,370.9045103612312
1990,36,005,New York,Bronx,424112,70398,0.16598917267136984,349.92101307796
1990,48,215,Texas,Hidalgo,103479,27730,0.2679770774746567,324.1358067562967
1990,15,003,Hawaii,Honolulu,265304,43526,0.16406085094834605,272.178667913675
1990,36,081,New York,Queens,720149,84985,0.11801030064611628,268.2161833893027
1990,06,059,California,Orange,827066,92491,0.11183025296651053,261.51984332580497
1990,48,061,Texas,Cameron,73278,17484,0.23859821501678538,236.09020954267584
1990,48,201,Texas,Harris,1026448,99541,0.09697617414618179,221.94298560284443
2000,06,037,California,Los Angeles,3133774,720369,0.2298726710988093,1312.0268064511577
2000,12,086,Florida,Miami-Dade,776774,155432,0.2000993854068236,540.4324585789722
2000,06,059,California,Orange,935287,147258,0.15744685855785442,415.7257139242956
2000,36,005,New York,Bronx,463212,91146,0.19676951374316728,407.5936131441347
2000,36,081,New York,Queens,782664,128023,0.16357338525855283,403.5917142581649
2000,36,047,New York,Kings,880727,136495,0.1549799199979108,393.46728385299616
2000,48,201,Texas,Harris,1205516,157039,0.13026703917658497,343.7141601705135
2000,48,215,Texas,Hidalgo,156824,37719,0.24051803295413968,311.62377596742056
2000,48,113,Texas,Dallas,807621,104881,0.12986413181430398,279.77290953824894
2000,06,071,California,San Bernardino,528594,77383,0.14639401885000586,277.9942922066371
2010,06,037,California,Los Angeles County,3217889,387453,0.12040595558143864,919.4094311145564
2010,36,047,New York,Kings County,903991,88946,0.09839257249242525,367.0011353573384
2010,06,059,California,Orange County,984503,89877,0.09129174822219943,342.4964573750386
2010,36,005,New York,Bronx County,472464,51165,0.10829396525449558,304.4408432803359
2010,36,081,New York,Queens County,774311,67014,0.08654662015650043,279.74098295063493
2010,48,215,Texas,Hidalgo County,205971,27379,0.13292647994135096,265.27188972182637
2010,06,071,California,San Bernardino County,596125,51377,0.08618494443279513,243.8471115400809
2010,48,201,Texas,Harris County,1372163,85484,0.06229872107031016,209.12277028719598
2010,06,019,California,Fresno County,283836,27875,0.09820812018207697,205.08057612994264
2010,48,479,Texas,Webb County,64714,10176,0.15724572735420467,184.25328595933908
2019,06,037,California,Los Angeles County,3316795,375912,0.11333591614796815,809.2770977133864
2019,36,047,New York,Kings County,958567,97731,0.1019553145476529,373.08623862892944
2019,36,005,New York,Bronx County,503829,62772,0.12458989061765004,359.8432237651886
2019,06,059,California,Orange County,1037492,91682,0.08836887416963216,311.1703264488395
2019,36,081,New York,Queens County,778932,73560,0.0944369983515891,299.4097676504569
2019,48,215,Texas,Hidalgo County,238345,29628,0.1243072017453691,246.73213899436115
2019,06,071,California,San Bernardino County,636041,56278,0.08848171737356554,244.14041892243432
2019,06,085,California,Santa Clara County,640215,52222,0.08156947275524629,214.17826413556665
2019,06,053,California,Monterey County,127155,17548,0.1380047972946404,207.38142743116404
2019,06,073,California,San Diego County,1125286,76930,0.06836484236007558,206.04205912059953
