year,GISJOIN,total.tract.area,hood.name,county,region,piece.area,pct.tract
1960,G06003709102,167137383.08937022,Acton,los-angeles,antelope-valley,6751742.93096471,0.040396366187895126
1960,G06003709107,85912279.58366583,Acton,los-angeles,antelope-valley,6632818.582149982,0.07720454647802238
1960,G06003709108,616170813.5376487,Acton,los-angeles,antelope-valley,88361098.12846136,0.14340357606545803
1970,G06003709102,167137383.08937022,Acton,los-angeles,antelope-valley,6751742.93096471,0.040396366187895126
1970,G06003709107,85912279.58366583,Acton,los-angeles,antelope-valley,6632818.582149982,0.07720454647802238
1970,G06003709108,616170813.5376487,Acton,los-angeles,antelope-valley,88361098.12846136,0.14340357606545803
1980,G06003709102,167137383.08937022,Acton,los-angeles,antelope-valley,6751742.93096471,0.040396366187895126
1980,G06003709107,85912279.58366583,Acton,los-angeles,antelope-valley,6632818.582149982,0.07720454647802238
1980,G0600370910802,537470458.9406375,Acton,los-angeles,antelope-valley,88361098.12846136,0.16440177624389338
1990,G06003709102,167420135.18504092,Acton,los-angeles,antelope-valley,7034495.026635649,0.04201701915280848
1990,G0600370910702,63226587.51844441,Acton,los-angeles,antelope-valley,6632818.582149982,0.10490552855181472
1990,G0600370910802,537187706.8449668,Acton,los-angeles,antelope-valley,88078346.03279042,0.16396195391382992
2000,G0600370910205,29238331.303388312,Acton,los-angeles,antelope-valley,821995.0279587749,0.028113609474816958
2000,G0600370910708,36620164.03141217,Acton,los-angeles,antelope-valley,6632818.582149982,0.18112476439101857
2000,G0600370910803,102396132.03512447,Acton,los-angeles,antelope-valley,4554775.674043881,0.044481911411277504
2000,G0600370910804,65187677.415470764,Acton,los-angeles,antelope-valley,44090796.82244116,0.6763670462046136
2000,G0600370910805,110150594.67130135,Acton,los-angeles,antelope-valley,45611060.30390565,0.4140791108755508
2000,G0600370910806,295607158.1072247,Acton,los-angeles,antelope-valley,34213.231078138284,1.1573884508482782e-4
2010,G0600370910205,29238355.093514718,Acton,los-angeles,antelope-valley,821990.4033460394,0.028113428430464712
2010,G0600370910805,110151235.5127998,Acton,los-angeles,antelope-valley,45611054.90424964,0.414076652812029
2010,G0600370910812,33193743.74258467,Acton,los-angeles,antelope-valley,6653412.304195667,0.20044175660909017
2010,G0600370910811,323874927.71133655,Acton,los-angeles,antelope-valley,13618.725701666866,4.2049336136957695e-5
2010,G0600370910804,65187669.76980066,Acton,los-angeles,antelope-valley,44090806.99675235,0.6763672816109496
2010,G0600370910813,82530154.31925055,Acton,los-angeles,antelope-valley,4554776.307331477,0.05518923773863651
2019,G0600370910205,29238360.255968887,Acton,los-angeles,antelope-valley,821991.2584344428,0.028113452712062975
2019,G0600370910804,65187660.13709991,Acton,los-angeles,antelope-valley,44090801.57603463,0.6763672984013345
2019,G0600370910805,110151152.04012702,Acton,los-angeles,antelope-valley,45610968.56506026,0.4140761827751435
2019,G0600370910811,323867905.77114964,Acton,los-angeles,antelope-valley,13618.711202340455,4.205020306014409e-5
2019,G0600370910812,33193742.06900928,Acton,los-angeles,antelope-valley,6653412.316976049,0.20044176710006684
2019,G0600370910813,82530237.07556222,Acton,los-angeles,antelope-valley,4554867.2138699265,0.05519028389194649
1960,G06003702214,809640.4381668267,Adams-Normandie,los-angeles,south-la,1.192276800204839e-8,1.4726003593698586e-14
1960,G06003702215,645701.1178246639,Adams-Normandie,los-angeles,south-la,412633.0006773599,0.6390464400425706
1960,G06003702216,647369.232066158,Adams-Normandie,los-angeles,south-la,383169.17300533433,0.591886598908019
1960,G06003702217,573302.5732789894,Adams-Normandie,los-angeles,south-la,5.848693263033056e-8,1.0201756516775433e-13
1960,G06003702218,508598.6926814204,Adams-Normandie,los-angeles,south-la,182325.77216103673,0.3584865136003077
1960,G06003702219,409738.4707376438,Adams-Normandie,los-angeles,south-la,141194.11767497967,0.3445957061849496
1960,G06003702221,478936.41884778335,Adams-Normandie,los-angeles,south-la,476985.2623611315,0.9959260636488119
1960,G06003702222,481873.26083861024,Adams-Normandie,los-angeles,south-la,481595.8508967032,0.9994243093268461
1970,G0600370221401,228859.11033152018,Adams-Normandie,los-angeles,south-la,5.014605466979738e-10,2.1911321160497796e-15
1970,G0600370221402,580781.3278353134,Adams-Normandie,los-angeles,south-la,1.142130118952922e-8,1.9665406999392807e-14
1970,G0600370221501,228743.87206079584,Adams-Normandie,los-angeles,south-la,29.275904918857396,1.279855265852823e-4
1970,G0600370221502,416957.2457638892,Adams-Normandie,los-angeles,south-la,412603.7247724469,0.9895588311855178
1970,G0600370221601,250722.8995497802,Adams-Normandie,los-angeles,south-la,0.0036440978612981567,1.4534363904700429e-8
1970,G0600370221602,396646.332516409,Adams-Normandie,los-angeles,south-la,383169.16936123907,0.966022216644062
1970,G0600370221702,344326.6476444637,Adams-Normandie,los-angeles,south-la,5.848693263033056e-8,1.6985886230542792e-13
1970,G06003702218,508598.6926814204,Adams-Normandie,los-angeles,south-la,182325.77216103673,0.3584865136003077
1970,G06003702219,409738.4707376438,Adams-Normandie,los-angeles,south-la,141194.11767497967,0.3445957061849496
1970,G06003702221,478936.41884778335,Adams-Normandie,los-angeles,south-la,476985.2623611315,0.9959260636488119
1970,G06003702222,481873.26083861024,Adams-Normandie,los-angeles,south-la,481595.8508967032,0.9994243093268461
1980,G0600370221401,228859.11033152018,Adams-Normandie,los-angeles,south-la,5.014605466979738e-10,2.1911321160497796e-15
1980,G0600370221402,580781.3278353134,Adams-Normandie,los-angeles,south-la,1.142130118952922e-8,1.9665406999392807e-14
1980,G0600370221501,228743.87206079584,Adams-Normandie,los-angeles,south-la,29.275904918857396,1.279855265852823e-4
1980,G0600370221502,416957.2457638892,Adams-Normandie,los-angeles,south-la,412603.7247724469,0.9895588311855178
1980,G0600370221601,250722.8995497802,Adams-Normandie,los-angeles,south-la,0.0036440978612981567,1.4534363904700429e-8
1980,G0600370221602,396646.332516409,Adams-Normandie,los-angeles,south-la,383169.16936123907,0.966022216644062
1980,G0600370221702,344326.6476444637,Adams-Normandie,los-angeles,south-la,5.848693263033056e-8,1.6985886230542792e-13
1980,G06003702218,508598.6926814204,Adams-Normandie,los-angeles,south-la,182325.77216103673,0.3584865136003077
1980,G06003702219,409738.4707376438,Adams-Normandie,los-angeles,south-la,141194.11767497967,0.3445957061849496
1980,G06003702221,478936.41884778335,Adams-Normandie,los-angeles,south-la,476985.2623611315,0.9959260636488119
1980,G06003702222,481873.26083861024,Adams-Normandie,los-angeles,south-la,481595.8508967032,0.9994243093268461
1990,G06003702214,809640.4381668267,Adams-Normandie,los-angeles,south-la,1.192276800204839e-8,1.4726003593698586e-14
1990,G06003702215,645701.1178246639,Adams-Normandie,los-angeles,south-la,412633.0006773599,0.6390464400425706
1990,G06003702216,647369.232066158,Adams-Normandie,los-angeles,south-la,383169.17300533433,0.591886598908019
1990,G06003702217,573302.5732789894,Adams-Normandie,los-angeles,south-la,5.848693263033056e-8,1.0201756516775433e-13
1990,G06003702218,508598.6926814204,Adams-Normandie,los-angeles,south-la,182325.77216103673,0.3584865136003077
1990,G06003702219,409738.4707376438,Adams-Normandie,los-angeles,south-la,141194.11767497967,0.3445957061849496
1990,G06003702221,478936.41884778335,Adams-Normandie,los-angeles,south-la,476985.2623611315,0.9959260636488119
1990,G06003702222,481873.26083861024,Adams-Normandie,los-angeles,south-la,481595.8508967032,0.9994243093268461
2000,G0600370221400,809640.4381668267,Adams-Normandie,los-angeles,south-la,1.192276800204839e-8,1.4726003593698586e-14
2000,G0600370221500,645701.1178246639,Adams-Normandie,los-angeles,south-la,412633.0006773599,0.6390464400425706
2000,G0600370221600,647369.232066158,Adams-Normandie,los-angeles,south-la,383169.17300533433,0.591886598908019
2000,G0600370221710,635476.7373661359,Adams-Normandie,los-angeles,south-la,5.848693263033056e-8,9.203630784777691e-14
2000,G0600370221810,304335.6967671996,Adams-Normandie,los-angeles,south-la,182325.77216103673,0.5990942702344448
2000,G0600370221900,409738.47073767084,Adams-Normandie,los-angeles,south-la,141194.11767497967,0.34459570618492685
2000,G0600370222100,478936.41884778335,Adams-Normandie,los-angeles,south-la,476985.2623611315,0.9959260636488119
2000,G0600370222200,481873.26083861024,Adams-Normandie,los-angeles,south-la,481595.8508967032,0.9994243093268461
2010,G0600370221500,380721.73227311124,Adams-Normandie,los-angeles,south-la,380561.2946572151,0.9995785961181196
2010,G0600370221900,409738.49301509047,Adams-Normandie,los-angeles,south-la,141194.1256625023,0.344595706943507
2010,G0600370221810,304335.68121014093,Adams-Normandie,los-angeles,south-la,182325.79516336322,0.5990943764410883
2010,G0600370222100,478937.0073061526,Adams-Normandie,los-angeles,south-la,476984.4932255676,0.9959232340562548
2010,G0600370222200,481869.2332186718,Adams-Normandie,los-angeles,south-la,481591.8342459482,0.9994243272788538
2010,G0600370221710,327957.76050945703,Adams-Normandie,los-angeles,south-la,5.65932509744016e-8,1.7256262174277674e-13
2010,G0600370221602,522817.1672973236,Adams-Normandie,los-angeles,south-la,13469.474366123217,0.025763259526753818
2010,G0600370221601,369896.84360048955,Adams-Normandie,los-angeles,south-la,369699.6798544704,0.9994669764032048
2010,G0600370221402,532314.3787072143,Adams-Normandie,los-angeles,south-la,32076.479601407656,0.06025852557150348
2019,G0600370221402,532314.4020619565,Adams-Normandie,los-angeles,south-la,32076.470004210947,0.06025850489853465
2019,G0600370221500,380721.7666105433,Adams-Normandie,los-angeles,south-la,380561.3326228571,0.9995786056859463
2019,G0600370221601,369896.81771650625,Adams-Normandie,los-angeles,south-la,369699.6593320817,0.9994669908607441
2019,G0600370221602,522793.1850347435,Adams-Normandie,los-angeles,south-la,13469.491794966556,0.025764474711106662
2019,G0600370221810,304335.65592078475,Adams-Normandie,los-angeles,south-la,182325.75679062307,0.5990943001370844
2019,G0600370221900,409738.51062450884,Adams-Normandie,los-angeles,south-la,141194.13774338958,0.3445957216181279
2019,G0600370222100,478937.03311232664,Adams-Normandie,los-angeles,south-la,476984.52729045507,0.9959232515197595
2019,G0600370222200,481869.21114003623,Adams-Normandie,los-angeles,south-la,481591.80119801604,0.9994243044884236
1960,G06003708003,126489372.78670795,Agoura Hills,los-angeles,santa-monica-mountains,20481421.93481387,0.16192207680047999
1970,G0600370800301,71637194.45956565,Agoura Hills,los-angeles,santa-monica-mountains,9459173.645205637,0.13204277075011223
1970,G0600370800302,54852178.32714282,Agoura Hills,los-angeles,santa-monica-mountains,11022248.2896082,0.20094458644596794
1980,G0600370800301,71637194.45956565,Agoura Hills,los-angeles,santa-monica-mountains,9459173.645205637,0.13204277075011223
1980,G0600370800321,10080642.165148636,Agoura Hills,los-angeles,santa-monica-mountains,7271099.968532073,0.7212933312592058
1980,G0600370800322,44771536.16199431,Agoura Hills,los-angeles,santa-monica-mountains,3751148.3210761314,0.08378422191062564
1990,G0600370800301,66541021.90077094,Agoura Hills,los-angeles,santa-monica-mountains,9103168.101233086,0.136805354669908
1990,G0600370800321,10439963.350532288,Agoura Hills,los-angeles,santa-monica-mountains,7627105.512504676,0.7305682267664094
1990,G0600370800322,44771536.16199431,Agoura Hills,los-angeles,santa-monica-mountains,3751148.3210761314,0.08378422191062564
2000,G0600370800302,15486988.444439257,Agoura Hills,los-angeles,santa-monica-mountains,5884967.26767789,0.37999429577872135
2000,G0600370800303,51047250.44642764,Agoura Hills,los-angeles,santa-monica-mountains,3218200.8335551536,0.06304356856462907
2000,G0600370800323,6853451.261965693,Agoura Hills,los-angeles,santa-monica-mountains,4807793.5822028015,0.7015142296093078
2000,G0600370800324,3586512.088566694,Agoura Hills,los-angeles,santa-monica-mountains,2819311.930302005,0.7860873909472054
