YEAR,GISJOIN,NAME,total,occupied,vacant,pct.vacant
1970,G0100010,Autauga,7396,6796,600,0.08112493239588967
1970,G0100030,Baldwin,21803,17721,4082,0.18722194193459615
1970,G0100050,Barbour,7393,6814,579,0.07831732720140673
1970,G0100070,Bibb,4476,4020,456,0.10187667560321716
1970,G0100090,Blount,9212,8442,770,0.08358662613981763
1970,G0100110,Bullock,3712,3336,376,0.10129310344827586
1970,G0100130,Butler,7134,6669,465,0.06518082422203532
1970,G0100150,Calhoun,32563,30657,1906,0.05853269047692166
1970,G0100170,Chambers,11974,11208,766,0.06397193920160348
1970,G0100190,Cherokee,5452,4879,573,0.10509904622157007
1970,G0100210,Chilton,9106,8019,1087,0.11937184274104985
1970,G0100230,Choctaw,5286,4674,612,0.11577752553916004
1970,G0100250,Clarke,8353,7608,745,0.08918951274991022
1970,G0100270,Clay,4336,3948,388,0.08948339483394833
1970,G0100290,Cleburne,3634,3366,268,0.07374793615850303
1970,G0100310,Coffee,11492,10667,825,0.07178907065784894
1970,G0100330,Colbert,16083,15049,1034,0.0642914879064851
1970,G0100350,Conecuh,5165,4665,500,0.0968054211035818
1970,G0100370,Coosa,3923,3144,779,0.19857252102982412
1970,G0100390,Covington,12479,11208,1271,0.10185110986457248
1970,G0100410,Crenshaw,4684,4226,458,0.09777967549103331
1970,G0100430,Cullman,17478,16220,1258,0.0719761986497311
1970,G0100450,Dale,14772,13909,863,0.05842133766585432
1970,G0100470,Dallas,16799,15611,1188,0.07071849514852074
1970,G0100490,De Kalb,14729,13501,1228,0.08337293774186978
1970,G0100510,Elmore,12117,9643,2474,0.2041759511430222
1970,G0100530,Escambia,10817,9963,854,0.07894980123879079
1970,G0100550,Etowah,31987,30241,1746,0.05458467502422859
1970,G0100570,Fayette,5794,5223,571,0.09855022437003796
1970,G0100590,Franklin,8363,7698,665,0.07951691976563434
1970,G0100610,Geneva,7681,7059,622,0.08097903918760578
1970,G0100630,Greene,3384,2947,437,0.1291371158392435
1970,G0100650,Hale,4849,4277,572,0.11796246648793565
1970,G0100670,Henry,4703,4103,600,0.1275781416117372
1970,G0100690,Houston,19287,17600,1687,0.08746824285788354
1970,G0100710,Jackson,12966,12014,952,0.07342279808730526
1970,G0100730,Jefferson,212937,203629,9308,0.04371245955376473
1970,G0100750,Lamar,5143,4672,471,0.09158078942251605
1970,G0100770,Lauderdale,22350,20779,1571,0.07029082774049217
1970,G0100790,Lawrence,8516,7808,708,0.08313762329732269
1970,G0100810,Lee,19415,17391,2024,0.10424929178470255
1970,G0100830,Limestone,12677,12040,637,0.05024848150193263
1970,G0100850,Lowndes,3448,3100,348,0.10092807424593968
1970,G0100870,Macon,7079,6457,622,0.08786551772849273
1970,G0100890,Madison,56826,53150,3676,0.0646886988350403
1970,G0100910,Marengo,7341,6741,600,0.08173273395995095
1970,G0100930,Marion,8409,7708,701,0.08336306338446903
1970,G0100950,Marshall,18555,17111,1444,0.07782268930207491
1970,G0100970,Mobile,99441,91769,7672,0.07715127563077603
1970,G0100990,Monroe,6674,5932,742,0.11117770452502247
1970,G0101010,Montgomery,55718,50689,5029,0.09025808535841201
1970,G0101030,Morgan,24821,23520,1301,0.052415293501470527
1970,G0101050,Perry,4644,4192,452,0.09732988802756244
1970,G0101070,Pickens,6448,5946,502,0.07785359801488834
1970,G0101090,Pike,8119,7445,674,0.08301514964897155
1970,G0101110,Randolph,6442,5887,555,0.08615336851909344
1970,G0101130,Russell,14111,13058,1053,0.07462263482389625
1970,G0101150,St Clair,9449,8312,1137,0.12033019367128797
1970,G0101170,Shelby,12144,11125,1019,0.08390974967061923
1970,G0101190,Sumter,5071,4660,411,0.08104910274107671
1970,G0101210,Talladega,20490,18861,1629,0.07950219619326501
1970,G0101230,Tallapoosa,12213,10458,1755,0.14369933677229182
1970,G0101250,Tuscaloosa,35518,32916,2602,0.07325862942733262
1970,G0101270,Walker,19404,17697,1707,0.08797155225726655
1970,G0101290,Washington,4679,4346,333,0.07116905321649925
1970,G0101310,Wilcox,4715,4211,504,0.10689289501590668
1970,G0101330,Winston,6041,5378,663,0.10975004138387684
1970,G0200100,Aleutian Islands,1332,1225,107,0.08033033033033032
1970,G0200200,Anchorage,37650,34988,2662,0.07070385126162018
1970,G0200300,Angoon,185,134,51,0.2756756756756757
1970,G0200400,Barrow,499,463,36,0.07214428857715431
1970,G0200500,Bethel,1707,1435,272,0.15934387814879905
1970,G0200600,Bristol Bay Borough,214,192,22,0.102803738317757
1970,G0200620,Bristol Bay Division,951,724,227,0.2386961093585699
1970,G0200800,Cordova-Mc Carthy,943,591,352,0.37327677624602335
1970,G0200900,Fairbanks,12520,11590,930,0.0742811501597444
1970,G0201000,Haines,515,424,91,0.1766990291262136
1970,G0201100,Juneau,4529,4223,306,0.06756458379333186
1970,G0201200,Kenai-Cook Inlet,4877,3889,988,0.20258355546442486
1970,G0201300,Ketchikan,3265,3006,259,0.07932618683001531
1970,G0201400,Kobuk,990,814,176,0.17777777777777778
1970,G0201500,Kodiak,2539,2384,155,0.061047656557699885
1970,G0201600,Kuskokwim,527,463,64,0.12144212523719165
1970,G0201700,Matanuska-Susitna,4221,1841,2380,0.5638474295190713
1970,G0201800,Nome,1700,1209,491,0.2888235294117647
1970,G0201900,Outer Ketchikan,398,391,7,0.017587939698492462
1970,G0202000,Prince Of Wales,609,560,49,0.08045977011494253
1970,G0202100,Seward,1192,722,470,0.39429530201342283
1970,G0202200,Sitka,1915,1767,148,0.07728459530026109
1970,G0202300,Skagway-Yakutat,715,607,108,0.15104895104895105
1970,G0202400,Southeast Fairbanks,1325,1027,298,0.22490566037735849
1970,G0202500,Upper Yukon,483,338,145,0.3002070393374741
1970,G0202600,Valdez-Chitina-Whittier,1442,921,521,0.36130374479889044
1970,G0202700,Wade Hampton,690,643,47,0.06811594202898551
1970,G0202800,Wrangell-Petersburg,1619,1473,146,0.09017912291537987
1970,G0202900,Yukon-Koyukuk,1177,1015,162,0.13763806287170774
1970,G0400010,Apache,9034,6832,2202,0.24374584901483284
1970,G0400030,Cochise,19486,17878,1608,0.08252078415272503
1970,G0400050,Coconino,14808,12474,2334,0.15761750405186387
1970,G0400070,Gila,11131,8806,2325,0.2088761117599497
1970,G0400090,Graham,4868,4325,543,0.11154478225143796
1970,G0400110,Greenlee,3532,3022,510,0.14439411098527746
1970,G0400130,Maricopa,318714,302633,16081,0.05045589462653037
1970,G0400150,Mohave,10550,8626,1924,0.1823696682464455
1970,G0400170,Navajo,13904,11278,2626,0.18886651323360185
1970,G0400190,Pima,118623,110785,7838,0.06607487586724328
1970,G0400210,Pinal,19652,18096,1556,0.07917769183798087
1970,G0400230,Santa Cruz,4280,3817,463,0.10817757009345795
1970,G0400250,Yavapai,16136,12999,3137,0.19441001487357462
1970,G0400270,Yuma,19453,17586,1867,0.09597491389502905
1970,G0500010,Arkansas,8186,7500,686,0.08380161250916199
1970,G0500030,Ashley,8263,7535,728,0.08810359433619751
1970,G0500050,Baxter,6556,5800,756,0.11531421598535692
1970,G0500070,Benton,18755,16916,1839,0.09805385230605172
1970,G0500090,Boone,7303,6654,649,0.08886758866219362
1970,G0500110,Bradley,4721,4229,492,0.10421520864223681
1970,G0500130,Calhoun,2032,1769,263,0.1294291338582677
1970,G0500150,Carroll,5198,4565,633,0.12177760677183531
1970,G0500170,Chicot,6177,5477,700,0.11332361988020075
1970,G0500190,Clark,7233,6608,625,0.08640951195907645
1970,G0500210,Clay,7085,6511,574,0.08101623147494708
1970,G0500230,Cleburne,4420,3617,803,0.18167420814479637
1970,G0500250,Cleveland,2363,2145,218,0.09225560727888278
1970,G0500270,Columbia,8988,8197,791,0.08800623052959501
1970,G0500290,Conway,5827,5299,528,0.09061266517933757
1970,G0500310,Craighead,17650,16572,1078,0.061076487252124646
1970,G0500330,Crawford,8896,8174,722,0.08116007194244604
1970,G0500350,Crittenden,14274,13255,1019,0.07138853860165335
1970,G0500370,Cross,6035,5703,332,0.055012427506213754
1970,G0500390,Dallas,3520,3182,338,0.09602272727272727
1970,G0500410,Desha,6318,5646,672,0.1063627730294397
1970,G0500430,Drew,5078,4619,459,0.09038991729027177
1970,G0500450,Faulkner,10196,9281,915,0.08974107493134563
1970,G0500470,Franklin,4070,3656,414,0.10171990171990172
1970,G0500490,Fulton,3037,2647,390,0.1284162001975634
1970,G0500510,Garland,23996,20096,3900,0.16252708784797465
1970,G0500530,Grant,3349,3120,229,0.06837862048372649
1970,G0500550,Greene,8770,8329,441,0.050285062713797034
1970,G0500570,Hempstead,7137,6493,644,0.09023399187333614
1970,G0500590,Hot Spring,7713,7203,510,0.06612213146635551
1970,G0500610,Howard,4201,3798,403,0.09592954058557486
1970,G0500630,Independence,8371,7740,631,0.07537928562895711
1970,G0500650,Izard,3198,2620,578,0.1807379612257661
1970,G0500670,Jackson,7091,6609,482,0.06797348751939078
1970,G0500690,Jefferson,28347,25714,2633,0.09288460860055738
1970,G0500710,Johnson,5278,4761,517,0.09795377036756348
1970,G0500730,Lafayette,3792,3180,612,0.16139240506329114
1970,G0500750,Lawrence,6085,5533,552,0.09071487263763353
1970,G0500770,Lee,5566,5199,367,0.06593604024434065
1970,G0500790,Lincoln,3786,3437,349,0.09218172213417855
1970,G0500810,Little River,4017,3469,548,0.136420214090117
1970,G0500830,Logan,6186,5596,590,0.09537665696734562
1970,G0500850,Lonoke,8910,8020,890,0.09988776655443322
1970,G0500870,Madison,3554,3132,422,0.11873944850872256
1970,G0500890,Marion,3048,2566,482,0.15813648293963253
1970,G0500910,Miller,11875,10830,1045,0.088
1970,G0500930,Mississippi,19818,18292,1526,0.07700070642849935
1970,G0500950,Monroe,5007,4703,304,0.06071499900139804
1970,G0500970,Montgomery,2357,2056,301,0.12770470937632583
1970,G0500990,Nevada,3825,3415,410,0.10718954248366012
1970,G0501010,Newton,2282,1890,392,0.17177914110429449
1970,G0501030,Ouachita,11113,9979,1134,0.10204265274903267
1970,G0501050,Perry,2218,1854,364,0.16411181244364292
1970,G0501070,Phillips,12351,11497,854,0.06914419885029552
1970,G0501090,Pike,3369,3012,357,0.10596616206589493
1970,G0501110,Poinsett,8923,8307,616,0.06903507788860248
1970,G0501130,Polk,5192,4673,519,0.09996147919876733
1970,G0501150,Pope,9882,9014,868,0.08783647035013155
1970,G0501170,Prairie,3602,3280,322,0.08939478067740145
1970,G0501190,Pulaski,98201,92013,6188,0.06301361493263816
1970,G0501210,Randolph,4655,4265,390,0.08378088077336197
1970,G0501230,St Francis,9025,8543,482,0.053407202216066485
1970,G0501250,Saline,11684,10869,815,0.06975350907223554
1970,G0501270,Scott,3037,2778,259,0.08528152782351005
1970,G0501290,Searcy,3037,2573,464,0.15278235100428053
1970,G0501310,Sebastian,28606,26570,2036,0.07117387960567713
1970,G0501330,Sevier,4169,3793,376,0.09018949388342529
1970,G0501350,Sharp,4375,2936,1439,0.3289142857142857
1970,G0501370,Stone,2654,2210,444,0.16729464958553128
1970,G0501390,Union,16645,15145,1500,0.09011715229798738
1970,G0501410,Van Buren,3361,2857,504,0.1499553704254686
1970,G0501430,Washington,26555,24791,1764,0.06642816795330446
1970,G0501450,White,13806,12665,1141,0.08264522671302332
1970,G0501470,Woodruff,4050,3717,333,0.08222222222222222
1970,G0501490,Yell,5361,4725,636,0.11863458310016788
1970,G0600010,Alameda,379766,365093,14673,0.03863695012191718
1970,G0600030,Alpine,521,178,343,0.6583493282149712
1970,G0600050,Amador,5120,4024,1096,0.2140625
1970,G0600070,Butte,38110,34910,3200,0.08396746260823931
1970,G0600090,Calaveras,7037,4709,2328,0.3308227938041779
1970,G0600110,Colusa,4867,4136,731,0.15019519211012944
1970,G0600130,Contra Costa,178384,172951,5433,0.030456767423087273
1970,G0600150,Del Norte,5341,4707,634,0.11870436247893652
